risk_id,title,description,category,severity,likelihood,status,asset_name,business_process,financial_exposure,threat_refs,regulatory_citation,owner,remediation_plan
RSK-011,HIPAA Compliance Gap - Audit Logging,"Insufficient audit logging and monitoring to meet HIPAA requirements for access tracking and breach detection",Regulatory Compliance,High,Medium,accepted,SIEM Platform,Compliance & Audit,2800000,,"HIPAA 164.312(b); 164.308(a)(1)(ii)(D)",Compliance Officer - E. Washington,"Expand SIEM log sources to cover all PHI-touching systems; implement 6-year log retention; automate compliance dashboards"
RSK-012,Business Continuity - Data Center Failure,"Single data center hosting critical clinical systems with no geographic redundancy for disaster recovery",Availability,Critical,Low,open,Primary Data Center - East,All Business Operations,8500000,,"HIPAA 164.308(a)(7)(ii)(B)",CTO - L. Fernandez,"Establish secondary DR site with 4-hour RTO; implement active-passive replication for tier-1 systems; conduct biannual DR tests"
RSK-013,Physical Security - Server Room Access,"Inadequate physical access controls to server rooms allowing unauthorized entry and potential hardware tampering",Physical Security,Medium,Low,accepted,Server Room B - Admin Wing,IT Infrastructure,350000,T1200,"HIPAA 164.310(a)(1)",Facilities Manager - G. Olsen,"Install biometric access readers; deploy CCTV with 90-day retention; implement visitor escort policy for all server areas"
RSK-014,API Security - Broken Authentication,"Healthcare APIs lacking proper authentication and rate limiting exposing FHIR endpoints to unauthorized data access",Application Security,High,Medium,open,FHIR API Gateway,Health Information Exchange,2400000,T1190;T1078,"HIPAA 164.312(d); 21st Century Cures Act",API Security Lead - H. Yamamoto,"Implement OAuth 2.0 with SMART on FHIR scopes; deploy API gateway with rate limiting; add request signing for inter-system calls"
RSK-015,Legacy System - End-of-Life OS,"Critical laboratory information system running on Windows Server 2012 R2 with no vendor security patches available",Asset Lifecycle,Critical,High,mitigating,Lab Information System Server,Laboratory Services,1800000,T1210;T1068,"HIPAA 164.308(a)(5)(ii)(B)",IT Infrastructure Lead - P. Brooks,"Isolate system in dedicated VLAN; deploy compensating controls via host IDS; accelerate LIS migration project to Q3 target"
RSK-016,SOX Non-Compliance - Financial Reporting,"Lack of segregation of duties in financial reporting systems creating risk of undetected fraudulent transactions",Regulatory Compliance,High,Medium,open,Financial ERP System,Financial Reporting,4200000,T1078,"SOX Section 302; Section 404",CFO - N. Whitaker,"Implement role-based access with SoD enforcement; deploy continuous monitoring for SoD violations; automate control testing"
RSK-017,Wireless Network Exploitation,"Rogue access points and weak wireless security allowing unauthorized network access in clinical areas",Network Security,Medium,Medium,mitigating,Wireless LAN Controllers,Clinical Operations,650000,T1557;T1021,"HIPAA 164.312(e)(1)",Network Security Lead - T. Sanchez,"Deploy wireless IDS/IPS; enforce WPA3-Enterprise; implement 802.1X with certificate-based authentication; conduct quarterly rogue AP scans"
RSK-018,Medical Device Security - IoMT,"Unmanaged and unpatched internet-connected medical devices creating lateral movement pathways into clinical networks",Medical Device Security,Critical,Medium,open,Infusion Pumps / Patient Monitors,Patient Care Delivery,3600000,T1210;T1557,"FDA Premarket Cybersecurity Guidance; HIPAA",Biomedical Engineering Lead - V. Kumar,"Inventory all connected medical devices; segment IoMT on dedicated VLAN; deploy passive network monitoring for anomaly detection"
RSK-019,Data Loss Prevention Gap,"Absence of DLP controls allowing sensitive data exfiltration via email attachments and cloud storage uploads",Data Security,High,Medium,open,Email System / Cloud Storage,All Business Operations,2900000,T1048;T1567,"HIPAA 164.312(e)(1)",Data Protection Officer - W. Blake,"Deploy endpoint DLP agents; implement email content inspection rules for PHI patterns; block unauthorized cloud storage services"
RSK-020,Privileged Access Misuse - Admin Accounts,"Shared administrative accounts without individual accountability on critical infrastructure systems",Identity & Access,High,High,open,Domain Controllers / Hypervisors,IT Infrastructure,1700000,T1078;T1068,"HIPAA 164.312(a)(2)(i); SOX",IAM Lead - R. Thompson,"Deploy privileged access management platform; eliminate shared accounts; implement session recording for all admin access; enforce JIT privilege elevation"
