Framework,Control_ID,Control_Name,Control_or_Tactic_Category,Recommended_Tool_Categories_and_Tools,API_or_Query_To_Run,Connector_Settings_JSON,Normalized_Evidence_JSON,Validation_Logic,Metric,Scoring_Rule,Notes
MITRE ATT&CK Enterprise,T1098,Account Manipulation,Persistence,"Okta, Entra, Splunk",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""Okta"",""Entra"",""Splunk""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Okta"",""evidence_object"":""audit logs"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Detect new MFA factor, role assignment, account changes",Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
MITRE ATT&CK Enterprise,T1486,Data Encrypted for Impact,Impact,"CrowdStrike, Defender, Rubrik, Splunk",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""CrowdStrike"",""Defender"",""Rubrik""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""EDR detections"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Detect ransomware encryption behavior and backup impact,Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
MITRE ATT&CK Enterprise,T1562,Impair Defenses,Defense Evasion,"CrowdStrike, Splunk, Entra",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""CrowdStrike"",""Splunk"",""Entra""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""sensor health"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Detect EDR tampering, logging disabled, policy changes",Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
MITRE ATT&CK Enterprise,T1087,Account Discovery,Discovery,"CrowdStrike, Splunk",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""CrowdStrike"",""Splunk""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""process and network logs"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Detect account enumeration commands and LDAP queries,Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
MITRE ATT&CK Enterprise,T1018,Remote System Discovery,Discovery,"CrowdStrike, Splunk",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""CrowdStrike"",""Splunk""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""process/network logs"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Detect network scanning/host discovery commands,Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
MITRE ATT&CK Enterprise,T1046,Network Service Discovery,Discovery,"CrowdStrike, Panorama, Splunk",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""CrowdStrike"",""Panorama"",""Splunk""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""network traffic"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Detect port scans and service discovery,Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
MITRE ATT&CK Enterprise,T1055,Process Injection,Defense Evasion,"CrowdStrike, Defender",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""CrowdStrike"",""Defender""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""EDR telemetry"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Detect process injection behavior,Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
MITRE ATT&CK Enterprise,T1218,System Binary Proxy Execution,Defense Evasion,"CrowdStrike, Splunk",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""CrowdStrike"",""Splunk""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""process command-line events"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Detect LOLBin misuse,Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
MITRE ATT&CK Enterprise,T1547,Boot or Logon Autostart Execution,Persistence,"CrowdStrike, Defender, Splunk",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""CrowdStrike"",""Defender"",""Splunk""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""registry/service events"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Detect autorun/service persistence changes,Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
MITRE ATT&CK Enterprise,T1027,Obfuscated Files or Information,Defense Evasion,"CrowdStrike, Splunk",Tool-specific APIs/SIEM queries mapped to ATT&CK data sources,"{""tools"":[""CrowdStrike"",""Splunk""],""fields"":[""technique_id"",""detection_rule"",""telemetry_source""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""process/script logs"",""key_fields"":[""event_id"",""user"",""host"",""process"",""network""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Detect encoded/obfuscated commands and suspicious scripts,Detection coverage + telemetry freshness + alert triage,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: detection telemetry present, rule enabled, alert reviewed","MITRE tab is threat/detection coverage, not compliance mapping"
