Framework,Control_ID,Control_Name,Control_or_Tactic_Category,Recommended_Tool_Categories_and_Tools,API_or_Query_To_Run,Connector_Settings_JSON,Normalized_Evidence_JSON,Validation_Logic,Metric,Scoring_Rule,Notes
NIST CSF 2.0,ID.RA-02,Threat intelligence received,Threat Intel / SIEM / EDR,"Recorded Future, Splunk, CrowdStrike Intel","GET IOC feed status, feed freshness, matching detections","{""tools"":[""Splunk"",""Recorded Future""],""fields"":[""feed_name"",""last_update"",""ioc_count""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Splunk"",""evidence_object"":""threat_intel_lookup"",""key_fields"":[""ioc"",""type"",""last_seen"",""source""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Threat intel feeds current and used in detections/block lists,% required feeds fresh and active,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: feed freshness and usage,
NIST CSF 2.0,ID.RA-05,Threats and vulnerabilities prioritized,Vuln Mgmt / ITSM,"Tenable, CrowdStrike, ServiceNow","GET vulnerabilities, exploitability, asset criticality, tickets","{""tools"":[""Tenable"",""ServiceNow""],""fields"":[""severity"",""epss"",""criticality"",""ticket""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow"",""evidence_object"":""vulnerability_ticket"",""key_fields"":[""vuln_id"",""priority"",""due_date"",""state""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Risk priority reflects severity, exploitability, asset criticality",% critical/high findings correctly prioritized,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: risk-based prioritization accuracy,
NIST CSF 2.0,PR.AA-01,Identities and credentials managed,IAM,"Okta, Entra, SailPoint","GET users, lifecycle status, group memberships, access assignments","{""tools"":[""Okta"",""Microsoft Entra ID"",""SailPoint""],""fields"":[""status"",""groups"",""last_login"",""manager""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Okta"",""evidence_object"":""users"",""key_fields"":[""id"",""status"",""profile.login"",""lastLogin""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Active identities match HR/authoritative source; stale/orphan accounts flagged,% active identities reconciled and current,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: identity lifecycle coverage,
NIST CSF 2.0,PR.AA-02,Identities proofed and bound to credentials/MFA,IAM,"Okta, Entra, Duo","GET MFA enrollment, CA policies, auth logs","{""tools"":[""Okta"",""Microsoft Entra ID""],""fields"":[""mfa_enrolled"",""ca_policy"",""privileged""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Okta"",""evidence_object"":""user_factors"",""key_fields"":[""user_id"",""factor_type"",""status""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","All users, especially privileged/remote, have MFA enforced",MFA coverage and privileged MFA coverage,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: MFA coverage; privileged gaps weighted high,
NIST CSF 2.0,PR.AA-03,Users authenticated commensurate with risk,IAM / SIEM,"Entra, Okta, Splunk","GET sign-in risk, failed logins, CA policy application","{""tools"":[""Microsoft Entra ID"",""Splunk""],""fields"":[""risk_level"",""mfa_required"",""device_compliant""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Microsoft Entra ID"",""evidence_object"":""signins"",""key_fields"":[""user"",""riskLevel"",""conditionalAccessStatus""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",High-risk sign-ins require MFA/block and are investigated,% high-risk sign-ins controlled/investigated,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: risky authentication enforcement,
NIST CSF 2.0,PR.AA-05,Access permissions managed,IAM / ITSM,"SailPoint, Okta, Entra, ServiceNow","GET group/app assignments, access review results, approvals","{""tools"":[""SailPoint"",""Microsoft Entra ID"",""ServiceNow""],""fields"":[""entitlement"",""approval"",""review_status""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""SailPoint"",""evidence_object"":""access_certification"",""key_fields"":[""user"",""entitlement"",""decision"",""date""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Access assignments are approved, reviewed, least-privileged",% access with valid approval/review,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: access review and approval coverage,
NIST CSF 2.0,PR.DS-01,Data at rest protected,Cloud / DLP / Endpoint,"Prisma Cloud, Wiz, Purview, CrowdStrike",GET encryption status for storage/db/endpoints,"{""tools"":[""Prisma Cloud"",""Microsoft Purview"",""CrowdStrike Falcon""],""fields"":[""encryption_status"",""sensitivity_label""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Prisma Cloud"",""evidence_object"":""cloud_resource"",""key_fields"":[""resource_id"",""encrypted"",""account"",""region""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Sensitive/critical data stores and endpoints encrypted,% sensitive stores/endpoints encrypted,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: encryption coverage for sensitive data,
NIST CSF 2.0,PR.DS-02,Data in transit protected,Network / Cloud,"Panorama, Splunk, Venafi","GET TLS/SSL logs, certificate inventory, weak cipher alerts","{""tools"":[""Splunk"",""Panorama"",""Venafi""],""fields"":[""tls_version"",""cipher"",""cert_expiry""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Splunk"",""evidence_object"":""tls_event"",""key_fields"":[""dest"",""tls_version"",""cipher"",""cert_cn""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Critical services use approved TLS/ciphers; certs current,% compliant TLS connections/certs,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: TLS/certificate compliance,
NIST CSF 2.0,PR.DS-10,Data leakage prevented,DLP / Network / EDR,"Purview, Symantec DLP, Digital Guardian, CrowdStrike","GET DLP incidents, USB events, outbound exfil alerts","{""tools"":[""Microsoft Purview"",""CrowdStrike Falcon"",""Panorama""],""fields"":[""dlp_policy"",""action"",""data_type""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Microsoft Purview"",""evidence_object"":""dlp_incident"",""key_fields"":[""policy"",""severity"",""action"",""status""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",DLP policies active for sensitive data; incidents triaged,% sensitive policies active and incidents closed within SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: DLP coverage and incident SLA,
NIST CSF 2.0,PR.PS-01,Configuration practices established,Config / Network / EDR,"Panorama, CrowdStrike, ServiceNow","GET policy configs, baselines, change records","{""tools"":[""Panorama"",""CrowdStrike Falcon"",""ServiceNow""],""fields"":[""policy_id"",""baseline"",""change_ticket""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Panorama"",""evidence_object"":""security_rule"",""key_fields"":[""rule"",""src"",""dst"",""app"",""log_setting""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Security configurations match baseline and are change-controlled,% configs compliant with baseline,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: baseline compliance and approved changes,
NIST CSF 2.0,PR.PS-05,Software vulnerabilities prevented/remediated,Vuln Mgmt / ITSM,"Tenable, Qualys, CrowdStrike, ServiceNow",GET vuln backlog and remediation tickets,"{""tools"":[""CrowdStrike Falcon"",""ServiceNow""],""fields"":[""severity"",""due_date"",""state"",""exception""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""spotlight_vulnerability"",""key_fields"":[""aid"",""cve"",""severity"",""status""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Critical/high vulns remediated within SLA or approved exception,SLA compliance rate,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: remediation SLA compliance,
NIST CSF 2.0,DE.CM-01,Networks monitored,SIEM / Network,"Splunk, Sentinel, Panorama",GET log source freshness for firewall/DNS/VPN/proxy,"{""tools"":[""Splunk"",""Panorama""],""fields"":[""sourcetype"",""last_event"",""critical_zone""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Splunk"",""evidence_object"":""log_source"",""key_fields"":[""sourcetype"",""host"",""lastTime""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Required network log sources active and fresh,% network log sources fresh <24h,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: network telemetry coverage,
NIST CSF 2.0,DE.CM-03,Personnel activity monitored,SIEM / IAM / EDR,"Splunk, Okta, Entra, CrowdStrike",GET user auth/admin/activity logs,"{""tools"":[""Splunk"",""Okta"",""Microsoft Entra ID""],""fields"":[""user"",""event_type"",""risk"",""admin""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Splunk"",""evidence_object"":""auth_event"",""key_fields"":[""user"",""action"",""result"",""src_ip""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Privileged and anomalous user activity logged and detected,% required user activity sources covered,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: personnel monitoring coverage,
NIST CSF 2.0,DE.CM-06,External service provider activity monitored,IAM / SIEM / Network,"Splunk, Entra, Okta, Panorama",GET guest/vendor activity logs and network flows,"{""tools"":[""Splunk"",""Microsoft Entra ID"",""Panorama""],""fields"":[""vendor_id"",""guest_user"",""traffic_flow""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Splunk"",""evidence_object"":""vendor_activity"",""key_fields"":[""vendor"",""user"",""action"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Vendor access monitored, expired access removed, risky activity alerted",% vendor access with monitoring and current approval,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: third-party activity monitoring,
NIST CSF 2.0,DE.CM-09,Hardware/software environments monitored,EDR / CMDB,"CrowdStrike, Intune, ServiceNow","GET sensor health, unmanaged devices, software changes","{""tools"":[""CrowdStrike Falcon"",""ServiceNow""],""fields"":[""sensor_health"",""last_seen"",""ci_status""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""host_status"",""key_fields"":[""aid"",""status"",""last_seen"",""sensor_version""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Critical endpoints active in EDR; unmanaged devices investigated,% critical endpoints healthy,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: endpoint monitoring/sensor health,
NIST CSF 2.0,DE.AE-02,Potentially adverse events analyzed,SIEM / SOAR,"Splunk, Sentinel, XSOAR, ServiceNow",GET notable events and linked investigations,"{""tools"":[""Splunk"",""ServiceNow""],""fields"":[""notable_id"",""incident_id"",""status"",""severity""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Splunk"",""evidence_object"":""notable_event"",""key_fields"":[""event_id"",""rule"",""severity"",""status""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",High severity events have investigation ticket and closure reason,% high severity alerts investigated within SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: alert investigation SLA,
NIST CSF 2.0,DE.AE-03,Information correlated from multiple sources,SIEM / XDR,"Splunk, Sentinel, CrowdStrike",GET correlation searches and notable events with source count,"{""tools"":[""Splunk""],""fields"":[""correlation_search"",""source_count"",""enabled""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Splunk"",""evidence_object"":""correlation_rule"",""key_fields"":[""name"",""disabled"",""search"",""action.notable""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Critical detections correlate identity, endpoint, network where applicable",% required correlation use cases enabled,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: correlation coverage,
NIST CSF 2.0,RS.AN-01,Notifications investigated,SIEM / ITSM / SOAR,"Splunk, ServiceNow, XSOAR",GET alerts/incidents timestamps and state transitions,"{""tools"":[""Splunk"",""ServiceNow""],""fields"":[""created"",""assigned"",""resolved"",""closure_code""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow"",""evidence_object"":""security_incident"",""key_fields"":[""number"",""severity"",""state"",""opened_at"",""closed_at""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Alerts investigated with assignment, notes, resolution",% alerts with complete investigation record,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: triage completeness/SLA,
NIST CSF 2.0,RS.MI-01,Incidents contained,EDR / IAM / Network / SOAR,"CrowdStrike, Okta, Entra, Panorama, XSOAR","GET containment actions: isolate host, disable user, block IOC","{""tools"":[""CrowdStrike Falcon"",""Okta"",""Panorama""],""fields"":[""isolation_status"",""user_disabled"",""block_rule""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""containment_action"",""key_fields"":[""aid"",""action"",""timestamp"",""actor""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",High severity incidents have containment timestamp/action where required,% incidents contained within SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: containment action and timeliness,
NIST CSF 2.0,RS.CO-03,Information shared with stakeholders,ITSM / SOAR,"ServiceNow, XSOAR","GET communication tasks, notification fields, war-room notes","{""tools"":[""ServiceNow""],""fields"":[""stakeholder_notified"",""notification_time"",""task_state""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow"",""evidence_object"":""incident_task"",""key_fields"":[""task"",""owner"",""state"",""closed_at""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Required stakeholders notified for severity 1/2 incidents,% major incidents with notification evidence,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: stakeholder notification completeness,
NIST CSF 2.0,RC.RP-01,Recovery plan executed,Backup / ITSM / EDR,"Rubrik, Veeam, ServiceNow, CrowdStrike","GET restore jobs, recovery tickets, post-restore validation scans","{""tools"":[""Rubrik"",""ServiceNow"",""CrowdStrike Falcon""],""fields"":[""restore_job"",""rto"",""ioc_scan""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Rubrik"",""evidence_object"":""restore_event"",""key_fields"":[""object"",""status"",""start_time"",""end_time""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Critical systems restored within RTO and validated clean,% restore tests successful and within RTO,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: restore success, RTO, and post-recovery validation",
NIST CSF 2.0,RC.IM-01,Recovery lessons learned incorporated,ITSM / GRC,"ServiceNow, Archer","GET PIR records, corrective actions, due dates","{""tools"":[""ServiceNow""],""fields"":[""pir_record"",""corrective_action"",""due_date""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow"",""evidence_object"":""post_incident_review"",""key_fields"":[""incident"",""root_cause"",""action"",""state""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Major recovery events have PIR and tracked corrective actions,% major events with PIR and closed actions,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: PIR and action closure rate,
