Framework,Control_ID,Control_Name,Control_or_Tactic_Category,Recommended_Tool_Categories_and_Tools,API_or_Query_To_Run,Connector_Settings_JSON,Normalized_Evidence_JSON,Validation_Logic,Metric,Scoring_Rule,Notes
NIST SP 800-53 Rev. 5,CM-6,Configuration Settings,Config Mgmt,"Intune, Tanium, Panorama",Tool-specific API,"{""tools"":[""Intune"",""Tanium"",""Panorama""],""fields"":[""control_evidence"",""policy compliance status""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Intune"",""evidence_object"":""policy compliance status"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Security settings meet baseline,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Security settings meet baseline,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,CM-8,System Component Inventory,CMDB / EDR / Cloud,"ServiceNow, CrowdStrike, Wiz",GET /api/now/table/<table>?sysparm_query=<query>,"{""tools"":[""ServiceNow"",""CrowdStrike"",""Wiz""],""fields"":[""control_evidence"",""assets, cloud resources""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow"",""evidence_object"":""assets"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Inventory accurate and reconciled,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Inventory accurate and reconciled,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,IA-2,Identification and Authentication,IAM,"Okta, Entra, Duo",GET /api/v1/users; GET /api/v1/logs; GET /api/v1/users/{id}/factors,"{""tools"":[""Okta"",""Entra"",""Duo""],""fields"":[""control_evidence"",""MFA status, auth logs""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Okta"",""evidence_object"":""MFA status"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Users uniquely authenticated; MFA for privileged access,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Users uniquely authenticated; MFA for privileged access,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,IA-5,Authenticator Management,IAM / PAM,"Okta, Entra, CyberArk",GET /api/v1/users; GET /api/v1/logs; GET /api/v1/users/{id}/factors,"{""tools"":[""Okta"",""Entra"",""CyberArk""],""fields"":[""control_evidence"",""factors, passwords, key rotation""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Okta"",""evidence_object"":""factors"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Validate: Authenticators managed, rotated, revoked",% pass rate / coverage / SLA,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Authenticators managed, rotated, revoked",Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,IR-4,Incident Handling,ITSM / SOAR / EDR,"ServiceNow, XSOAR, CrowdStrike",GET /api/now/table/<table>?sysparm_query=<query>,"{""tools"":[""ServiceNow"",""XSOAR"",""CrowdStrike""],""fields"":[""control_evidence"",""incidents, playbooks, containment actions""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow"",""evidence_object"":""incidents"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Validate: Incidents triaged, contained, eradicated",% pass rate / coverage / SLA,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Incidents triaged, contained, eradicated",Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,IR-5,Incident Monitoring,SIEM / ITSM,"Splunk, ServiceNow",POST /services/search/jobs + GET /services/search/jobs/{sid}/results,"{""tools"":[""Splunk"",""ServiceNow""],""fields"":[""control_evidence"",""incident metrics, SLA""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Splunk"",""evidence_object"":""incident metrics"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Incident status monitored and reported,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Incident status monitored and reported,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,IR-6,Incident Reporting,ITSM / SOAR,"ServiceNow, XSOAR",GET /api/now/table/<table>?sysparm_query=<query>,"{""tools"":[""ServiceNow"",""XSOAR""],""fields"":[""control_evidence"",""notification tasks, report timestamps""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow"",""evidence_object"":""notification tasks"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Incidents reported per criteria,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Incidents reported per criteria,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,IR-8,Incident Response Plan,GRC / ITSM,"ServiceNow, Archer",GET /api/now/table/<table>?sysparm_query=<query>,"{""tools"":[""ServiceNow"",""Archer""],""fields"":[""control_evidence"",""plan records, tabletop tasks""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow"",""evidence_object"":""plan records"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Validate: IR plan exists, current, tested",% pass rate / coverage / SLA,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: IR plan exists, current, tested",Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,PL-2,System Security and Privacy Plans,GRC / CMDB,"ServiceNow, Archer",GET /api/now/table/<table>?sysparm_query=<query>,"{""tools"":[""ServiceNow"",""Archer""],""fields"":[""control_evidence"",""system records, plans""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow"",""evidence_object"":""system records"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: System security plans maintained for systems,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: System security plans maintained for systems,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,RA-3,Risk Assessment,GRC / Vuln,"ServiceNow, Archer, Tenable",GET /api/now/table/<table>?sysparm_query=<query>,"{""tools"":[""ServiceNow"",""Archer"",""Tenable""],""fields"":[""control_evidence"",""risk records, findings""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow"",""evidence_object"":""risk records"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Risk assessed and documented,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Risk assessed and documented,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,RA-5,Vulnerability Monitoring and Scanning,Vulnerability Mgmt,"Tenable, Qualys, CrowdStrike, Rapid7",Tool-specific API,"{""tools"":[""Tenable"",""Qualys"",""CrowdStrike""],""fields"":[""control_evidence"",""vulns, scan coverage, tickets""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Tenable"",""evidence_object"":""vulns"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Validate: Vulnerabilities scanned, tracked, remediated",% pass rate / coverage / SLA,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Vulnerabilities scanned, tracked, remediated",Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,RA-7,Risk Response,GRC / ITSM,"ServiceNow, Archer",GET /api/now/table/<table>?sysparm_query=<query>,"{""tools"":[""ServiceNow"",""Archer""],""fields"":[""control_evidence"",""risk treatment plans""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow"",""evidence_object"":""risk treatment plans"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Risk responses documented and tracked,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Risk responses documented and tracked,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,SA-11,Developer Testing and Evaluation,AppSec,"Checkmarx, Snyk, Veracode, GitHub Advanced Security",Tool-specific API,"{""tools"":[""Checkmarx"",""Snyk"",""Veracode""],""fields"":[""control_evidence"",""scan findings, build gates""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Checkmarx"",""evidence_object"":""scan findings"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: SAST/DAST/SCA performed before release,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: SAST/DAST/SCA performed before release,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,SA-15,"Development Process, Standards, and Tools",DevSecOps,"GitHub, GitLab, Jira, Snyk",Tool-specific API,"{""tools"":[""GitHub"",""GitLab"",""Jira""],""fields"":[""control_evidence"",""repo settings, pipeline evidence""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""GitHub"",""evidence_object"":""repo settings"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Secure SDLC process/tooling used,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Secure SDLC process/tooling used,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,SC-7,Boundary Protection,Network,"Panorama, Fortinet, Zscaler",GET /api/?type=config&action=get&xpath=<xpath>; type=log,"{""tools"":[""Panorama"",""Fortinet"",""Zscaler""],""fields"":[""control_evidence"",""rules, zones, logs""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Panorama"",""evidence_object"":""rules"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Boundary traffic controlled and monitored,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Boundary traffic controlled and monitored,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,SC-8,Transmission Confidentiality and Integrity,Network / Cloud,"Splunk, Panorama, Venafi",POST /services/search/jobs + GET /services/search/jobs/{sid}/results,"{""tools"":[""Splunk"",""Panorama"",""Venafi""],""fields"":[""control_evidence"",""TLS logs, certs""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Splunk"",""evidence_object"":""TLS logs"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Traffic encrypted and protected,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Traffic encrypted and protected,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,SC-12,Cryptographic Key Establishment and Management,Secrets / Cloud,"Azure Key Vault, AWS KMS, HashiCorp Vault",Tool-specific API,"{""tools"":[""Azure Key Vault"",""AWS KMS"",""HashiCorp Vault""],""fields"":[""control_evidence"",""keys, rotations, access logs""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Azure Key Vault"",""evidence_object"":""keys"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}","Validate: Keys managed, rotated, access controlled",% pass rate / coverage / SLA,"0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Keys managed, rotated, access controlled",Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,SC-13,Cryptographic Protection,Cloud / Endpoint,"Prisma Cloud, Wiz, Intune",Tool-specific API,"{""tools"":[""Prisma Cloud"",""Wiz"",""Intune""],""fields"":[""control_evidence"",""encryption status""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Prisma Cloud"",""evidence_object"":""encryption status"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Crypto controls deployed for sensitive data,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Crypto controls deployed for sensitive data,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,SI-2,Flaw Remediation,Vulnerability Mgmt / ITSM,"Tenable, ServiceNow, CrowdStrike",Tool-specific API,"{""tools"":[""Tenable"",""ServiceNow"",""CrowdStrike""],""fields"":[""control_evidence"",""vuln age, tickets""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Tenable"",""evidence_object"":""vuln age"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Flaws remediated within SLA,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Flaws remediated within SLA,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,SI-3,Malicious Code Protection,EDR / Email,"CrowdStrike, Defender, Proofpoint",Tool-specific API,"{""tools"":[""CrowdStrike"",""Defender"",""Proofpoint""],""fields"":[""control_evidence"",""detections, policy status""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""CrowdStrike"",""evidence_object"":""detections"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Malware protection deployed and effective,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Malware protection deployed and effective,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,SI-4,System Monitoring,SIEM / EDR / Network,"Splunk, CrowdStrike, Panorama",POST /services/search/jobs + GET /services/search/jobs/{sid}/results,"{""tools"":[""Splunk"",""CrowdStrike"",""Panorama""],""fields"":[""control_evidence"",""events, detections""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Splunk"",""evidence_object"":""events"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Systems monitored for attacks/anomalies,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Systems monitored for attacks/anomalies,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,CP-9,System Backup,Backup / ITSM,"Rubrik, Veeam, Cohesity",Tool-specific API,"{""tools"":[""Rubrik"",""Veeam"",""Cohesity""],""fields"":[""control_evidence"",""backup jobs, success rate""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Rubrik"",""evidence_object"":""backup jobs"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Backups performed and protected,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Backups performed and protected,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,CP-10,System Recovery and Reconstitution,Backup / ITSM,"Rubrik, Veeam, ServiceNow",Tool-specific API,"{""tools"":[""Rubrik"",""Veeam"",""ServiceNow""],""fields"":[""control_evidence"",""restore jobs, RTO evidence""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""Rubrik"",""evidence_object"":""restore jobs"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Systems restored and validated,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Systems restored and validated,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,SR-3,Supply Chain Controls and Processes,TPRM / GRC,"ServiceNow VRM, OneTrust",Tool-specific API,"{""tools"":[""ServiceNow VRM"",""OneTrust""],""fields"":[""control_evidence"",""vendor assessments""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow VRM"",""evidence_object"":""vendor assessments"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Supply-chain processes implemented,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Supply-chain processes implemented,Independent tab; no framework mapping required
NIST SP 800-53 Rev. 5,SR-6,Supplier Assessments and Reviews,TPRM,"ServiceNow, OneTrust, SecurityScorecard",GET /api/now/table/<table>?sysparm_query=<query>,"{""tools"":[""ServiceNow"",""OneTrust"",""SecurityScorecard""],""fields"":[""control_evidence"",""assessment status, scores""],""cadence"":""daily"",""environment_scope"":""prod""}","{""source_tool"":""ServiceNow"",""evidence_object"":""assessment status"",""key_fields"":[""id"",""status"",""owner"",""timestamp""],""normalize_to"":[""control_id"",""asset_or_user"",""result"",""severity"",""timestamp"",""evidence_uri""]}",Validate: Suppliers assessed at defined cadence,% pass rate / coverage / SLA,0=no evidence; 1=<60%; 2=60-79%; 3=80-89%; 4=90-94%; 5=>=95%. Specific rule: Suppliers assessed at defined cadence,Independent tab; no framework mapping required
